Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C37,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.415,-89.55,90,bottom
C38,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.445,-89.55,-90,bottom
C47,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.495,-87.75,180,bottom
C48,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.805,-88.895,-90,bottom
C55,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.99375,-122.05,180,bottom
C57,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,164.2,-121.8,180,bottom
FB1,FerriteBead_Small,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131,-137.75,-90,bottom
FB2,FerriteBead_Small,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,170,-137.75,-90,bottom
IC2,TPS2552DRVT-1,TPS2552DRVT-1,140.4,-121.05,90,bottom
IC3,TPS2552DRVT-1,TPS2552DRVT-1,178.85,-120.75,90,bottom
IC6,TPS2552DRVT-1,TPS2552DRVT-1,174.475,-93.85,180,bottom
IC7,TPS2552DRVT-1,TPS2552DRVT-1,174.475,-100.15,180,bottom
IC8,TPS2552DRVT-1,TPS2552DRVT-1,174.525,-106.35,180,bottom
IC13,TMUX1574PWR,TMUX1574PWR,113.475,-106.625,-90,bottom
IC14,TMUX1574PWR,TMUX1574PWR,124.225,-106.625,-90,bottom
Q13,MMBT2222A,SOT-23,128.69375,-124.8,0,bottom
Q14,MMBT2222A,SOT-23,124.63125,-119.3,180,bottom
Q18,MMBT2222A,SOT-23,168.2,-124.6,0,bottom
Q19,MMBT2222A,SOT-23,164,-119,180,bottom
R1,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.4,-131.8,0,bottom
R1_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.6,-118.45,180,bottom
R1_ILIM1,88.7kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.6,-123.7,180,bottom
R2,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.8,-128.5,0,bottom
R3,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.5,-134,0,bottom
R3_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.25,-118,180,bottom
R3_ILIM1,88.7kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178,-123.5,180,bottom
R4,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,187.7,-133.3,0,bottom
R5,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,188.2,-123.1,0,bottom
R5_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.725,-94.1,90,bottom
R5_ILIM1,226kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.225,-94.1,90,bottom
R6,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,169.4,-129.9,0,bottom
